timestamp,class_name,confidence,frame_number
15:29:51.014,B,0.7769,1084
15:29:51.589,A,0.6147,1100
15:29:52.138,A,0.7442,1116
15:29:52.693,A,0.7912,1134
15:29:53.241,A,0.7702,1150
15:29:53.807,A,0.7717,1167
15:29:54.325,A,0.7545,1183
15:29:54.842,A,0.7392,1199
15:29:55.384,A,0.7772,1215
15:29:55.930,A,0.7704,1231
15:29:56.472,A,0.7480,1248
15:29:56.996,A,0.7575,1263
15:29:57.519,A,0.7305,1279
15:29:58.076,A,0.7382,1295
15:29:58.601,A,0.7766,1312
15:29:59.113,A,0.7709,1327
15:29:59.646,A,0.7821,1343
15:30:00.191,A,0.7888,1359
15:30:00.736,A,0.7724,1375
15:30:01.271,A,0.6207,1391
15:30:03.485,A,0.7400,1459
15:30:04.049,A,0.7583,1474
15:30:04.547,A,0.6952,1491
15:30:08.816,A,0.6520,1617
15:30:09.925,A,0.6950,1650
15:30:10.467,A,0.6844,1667
15:30:10.997,A,0.7420,1683
15:30:11.554,A,0.7750,1700
15:30:12.095,A,0.7667,1716
15:30:12.685,A,0.7726,1733
15:30:13.268,A,0.7680,1750
15:30:13.834,A,0.7857,1767
15:30:14.506,A,0.7596,1785
15:30:15.026,A,0.7467,1805
15:30:15.538,A,0.7514,1820
15:30:16.040,A,0.7526,1836
15:30:16.540,A,0.7299,1851
15:30:17.038,A,0.7401,1866
15:30:17.548,A,0.7446,1880
15:30:18.059,A,0.7468,1896
15:30:18.566,A,0.7491,1911
15:30:19.066,A,0.7176,1927
15:30:19.576,A,0.7437,1942
15:30:20.097,A,0.7440,1956
15:30:20.625,A,0.7418,1973
15:30:21.148,A,0.7471,1988
15:30:21.674,A,0.7532,2003
15:30:22.211,A,0.7263,2020
15:30:22.948,A,0.7658,2035
